split,inflation,group,cases,covered,total,coverage,coverage_ci95_low,coverage_ci95_high,mean_width_usd
confirmation,24.0,expanded_lower,228,61452,62514,0.9830118053556004,0.9769008397495388,0.9879943887261513,659.9107605658031
confirmation,3.0,expanded_lower,228,61019,62514,0.9760853568800588,0.9673788255664563,0.9835372191366085,422.79503571027453
confirmation,4.0,expanded_lower,228,61099,62514,0.9773650702242698,0.9691591550208171,0.9844535761154442,472.44438520739084
confirmation,5.0,expanded_lower,228,61145,62514,0.9781009053971911,0.9700313875954913,0.9848399905956021,505.78477718453263
confirmation,6.0,expanded_lower,228,61203,62514,0.9790286975717439,0.9712942539827886,0.9854582148285896,530.7001765350931
confirmation,8.0,expanded_lower,228,61262,62514,0.9799724861630995,0.9727845944816885,0.9860240223511221,565.8593217540921
confirmation,deterministic,expanded_lower,228,61927,62514,0.9906101033368525,0.9855775784866174,0.9943107966027526,758.517142628152
confirmation,1.0,expanded_upper,185,39110,44134,0.8861648615579825,0.8620359242424989,0.9074587353922142,314.6173031260456
confirmation,1.15,expanded_upper,185,40213,44134,0.9111569311641818,0.8879946024862707,0.9302498779066428,361.79582974487937
confirmation,1.3,expanded_upper,185,40905,44134,0.9268364526215616,0.9045671761636158,0.9447269954403187,408.9408331108009
confirmation,1.5,expanded_upper,185,41396,44134,0.9379616622105407,0.9171129237605198,0.9546770287136609,470.88126403906006
confirmation,1.75,expanded_upper,185,41713,44134,0.9451443331671727,0.9252153935671922,0.9606550977531876,544.1120108316615
confirmation,10.0,expanded_upper,185,42669,44134,0.9668056373770789,0.9571054643326596,0.9751945527847056,1087.700959399537
confirmation,12.0,expanded_upper,185,42709,44134,0.9677119680971586,0.958195352204223,0.9760190811581597,1102.507552126648
confirmation,16.0,expanded_upper,185,42766,44134,0.9690034893732723,0.9601050052630156,0.97706951505537,1120.02303688061
confirmation,2.0,expanded_upper,185,41884,44134,0.9490188969955137,0.9305599950808844,0.9635657533135457,610.4188072037683
confirmation,2.5,expanded_upper,185,42071,44134,0.9532559931118866,0.9370132524451877,0.9666522379367624,720.1292150406252
confirmation,24.0,expanded_upper,185,42813,44134,0.970068427969366,0.9614853423417443,0.9779585081525415,1135.9035112341028
confirmation,3.0,expanded_upper,185,42207,44134,0.9563375175601577,0.9419365160324771,0.96844065366354,803.1205570062228
confirmation,4.0,expanded_upper,185,42382,44134,0.9603027144605066,0.9481393121441334,0.9711846655478982,913.9137239892235
confirmation,5.0,expanded_upper,185,42479,44134,0.9625005664567,0.9510428897749013,0.9728934738393311,979.3121452608153
confirmation,6.0,expanded_upper,185,42534,44134,0.9637467711968097,0.9528650619497492,0.9735765412693315,1019.4748191284482
confirmation,8.0,expanded_upper,185,42619,44134,0.9656727239769792,0.9556095429993602,0.9746895729094107,1064.1138583411641
confirmation,deterministic,expanded_upper,185,42957,44134,0.9733312185616532,0.9651526201599923,0.9807980083423797,1206.2692086142404
confirmation,1.0,stage1,358,51554,59404,0.8678540165645411,0.840321888968306,0.8920050904892094,211.59457196440607
confirmation,1.15,stage1,358,53159,59404,0.8948723991650394,0.8701318669528375,0.9160410829452533,243.32572194687657
confirmation,1.3,stage1,358,54404,59404,0.9158305837990708,0.893454252195552,0.9339218225345324,275.0222762687149
confirmation,1.5,stage1,358,55083,59404,0.927260790519157,0.9056598046558886,0.94444998032899,316.4419002419261
confirmation,1.75,stage1,358,55521,59404,0.9346340313783583,0.914782367611288,0.950766182408875,364.86693331442183
confirmation,10.0,stage1,358,57000,59404,0.9595313446905932,0.9474583392576684,0.9694232581361336,710.486492977871
confirmation,12.0,stage1,358,57061,59404,0.9605582115682446,0.9485950180530018,0.9703301541925301,724.4819492380894
confirmation,16.0,stage1,358,57144,59404,0.96195542387718,0.9503405921559045,0.9713503133559853,742.4225059432397
confirmation,2.0,stage1,358,55773,59404,0.9388761699548852,0.9197965127239327,0.9544606624434506,407.78592088740737
confirmation,2.5,stage1,358,56085,59404,0.9441283415258231,0.9270150713302386,0.9583982945672309,475.97194715092917
confirmation,24.0,stage1,358,57242,59404,0.9636051444347182,0.952622465059309,0.9725636893081359,760.4818428041959
confirmation,3.0,stage1,358,56299,59404,0.947730792539223,0.9317781621838244,0.9609244362414298,525.8623752127479
confirmation,4.0,stage1,358,56531,59404,0.951636253450946,0.9367854180091469,0.9639453349723971,591.5997567928467
confirmation,5.0,stage1,358,56669,59404,0.9539593293380917,0.9401202722466044,0.965807967884217,631.4823077726373
confirmation,6.0,stage1,358,56762,59404,0.955524880479429,0.9418752831950077,0.966836580482743,657.7471455944469
confirmation,8.0,stage1,358,56903,59404,0.9578984580162953,0.9453051184140637,0.9684658046739668,690.3771362644395
confirmation,deterministic,stage1,358,57714,59404,0.9715507373240859,0.961771360016613,0.9794784897949256,832.3128280829782
confirmation,1.0,stage1_lower,183,26672,30202,0.8831203231574067,0.8434959251048374,0.916256475724268,153.19517611097783
confirmation,1.15,stage1_lower,183,27528,30202,0.9114628170319846,0.8793248823652268,0.9371563527660117,176.16929884525223
confirmation,1.3,stage1_lower,183,28253,30202,0.9354678498112707,0.9103254949801165,0.9551087339180613,199.12244321421844
confirmation,1.5,stage1_lower,183,28553,30202,0.9454009668233891,0.9209485346656678,0.9636942656248679,228.867052020467
confirmation,1.75,stage1_lower,183,28714,30202,0.9507317396198928,0.9274236628604046,0.9680987928638793,263.0913380671827
confirmation,10.0,stage1_lower,183,29257,30202,0.968710681411827,0.9523349016366677,0.9805653946710404,531.6512186894817
confirmation,12.0,stage1_lower,183,29278,30202,0.9694059996026754,0.953448238873984,0.9807583769816038,548.4807880084228
confirmation,16.0,stage1_lower,183,29304,30202,0.9702668697437256,0.9547638639675107,0.9812636254584892,571.0272017331667
confirmation,2.0,stage1_lower,183,28805,30202,0.9537447851135686,0.9312400605659897,0.970617337314564,293.28890906808203
confirmation,2.5,stage1_lower,183,28934,30202,0.9580160254287795,0.9364394885703312,0.9737727651003,340.7626016252188
confirmation,24.0,stage1_lower,183,29355,30202,0.9719554996357858,0.9576173340919546,0.9821840177239625,593.9948815919223
confirmation,3.0,stage1_lower,183,29014,30202,0.9606648566320112,0.9409456985056183,0.9755526067345792,375.43667358251463
confirmation,4.0,stage1_lower,183,29073,30202,0.9626183696443944,0.9429823647838954,0.9771415980468315,422.09905139024585
